ID,link,text,user,likes,comments,retweets,external-link,quotes
188,https://twitter.com/MrBeast/status/1593353218658078721#m,Talked business with @Shopify give it a read ❤️,MrBeast,16254,1230,542,,43
189,https://twitter.com/MrBeast/status/1591911708947537920#m,"To celebrate world kindness day we did 10,000 acts of kindness :D  https://tube.mint.lgbt/qDeeJukyuXY",MrBeast,38366,2301,1418,,101
190,https://twitter.com/MrBeast/status/1591536579344207872#m,WE JUST UPLOADED IT IS YOUR DUTY TO GO WATCH IT,MrBeast,83803,2856,1617,,131
191,https://twitter.com/MrBeast/status/1591505317996957697#m,"I just bought 1,111 lottery tickets, something is telling me I’ll win",MrBeast,68736,2162,1065,,102
192,https://twitter.com/MrBeast/status/1591310661618843649#m,"WHAT ARE THE ODDS I RANDOMLY OPEN YOUTUBE TO 111,111,111 SUBSCRIBERS AT EXACTLY 11:11 ON NOVEMBER 11th???",MrBeast,553673,10433,21077,,1457
193,https://twitter.com/MrBeast/status/1590079085740707841#m,I found an old photo of when I made my first $100 off YouTube. I remember thinking YouTube wouldn’t pay me because making money off videos seemed to good to be true 💀,MrBeast,98490,2343,2297,,133
194,https://twitter.com/MrBeast/status/1588023722438524934#m,"POV you want a Feastables bar instead of $10,000",MrBeast,66897,1314,1119,,90
195,https://twitter.com/MrBeast/status/1588022991396413440#m,"I was handing out $10,000 on Halloween and one kid tried to trade the $10k for candy 😂",MrBeast,234606,4975,4470,,638
196,https://twitter.com/MrBeast/status/1586101495665246210#m,"We recorded a gaming video with Techno before he passed away and his dad and I thought today, the anniversary of his channel would be a good day to honor him. We just uploaded it, Rest In Peace Techno legends never die 🥺",MrBeast,212099,2006,7006,,315
197,https://twitter.com/MrBeast/status/1585788907303600131#m,They’re available in every Walmart in American ❤️,MrBeast,19288,1201,390,,43
198,https://twitter.com/MrBeast/status/1585787840344248320#m,If you hand out Feastables chocolate on Halloween you’re a giga chad,MrBeast,52817,1996,1035,,80
199,https://twitter.com/MrBeast/status/1584990530139611136#m,"After 3 long years the 20,000,000 trees from TeamTrees have officially been planted!! :D  All the locations of the planted trees are listed here ❤️ teamtrees.org/planting",MrBeast,69291,1726,3993,http://teamtrees.org/planting,236
200,https://twitter.com/MrBeast/status/1584314925597409282#m,"Hit 50m on TikTok, kind of funny how easy it is lol",MrBeast,159270,3342,2497,,300
201,https://twitter.com/MrBeast/status/1583926288028696576#m,We spent a night in the world’s cheapest hotel and then the world’s most expensive hotel and compared the two.. GO WATCH!,MrBeast,74108,1541,1383,,92
202,https://twitter.com/MrBeast/status/1581725083063570433#m,"We filmed a video with some brand new YouTubers, go show them some support 🙌🏻",MrBeast,113047,2055,2248,,114
203,https://twitter.com/MrBeast/status/1579829338404696064#m,"We partnered with @CORPSE to launch this Cookies & Creme Corpse Bar! He crushed it with this one, the design and taste is genuinely insane 😍😍😍  https://fstbls.com/corpse",MrBeast,110697,2107,3873,,667
204,https://twitter.com/MrBeast/status/1575133607558975488#m,Beastgang I need you to step it up and put an end to all these people ratioing me 💀,MrBeast,211370,3204,3367,,239
205,https://twitter.com/MrBeast/status/1573950301287112706#m,Should we do it again but this time a year?,MrBeast,66688,5673,882,,222
206,https://twitter.com/MrBeast/status/1573764304364572673#m,"I put someone in a circle in the middle of no where and if he spent 100 days in it, he won $500,000!   GO WATCH",MrBeast,167399,3507,2541,,417
207,https://twitter.com/MrBeast/status/1573719465342140416#m,"The sidemen crushed this event. Over 2,500,000 concurrent viewers and it was so much fun ❤️",MrBeast,258844,1619,6469,,223
208,https://twitter.com/MrBeast/status/1573136027560345600#m,Goes up Saturday 🥰,MrBeast,49200,737,494,,18
209,https://twitter.com/MrBeast/status/1573134820435447808#m,"Our next video is over 10,000 hours of footage condensed down to a 19 minute video 😅",MrBeast,211689,3706,3086,,353
210,https://twitter.com/MrBeast/status/1571168801789452288#m,"Text me a picture of your receipt to 69420 and I’ll be giving random people today that do $10,000! :)))",MrBeast,26266,1408,618,,62
211,https://twitter.com/MrBeast/status/1570828655877836800#m,Our Feastables chocolate and Walmart exclusive cookies are now available in every Walmart across America!! GO TRY THEM AND TELL ME WHAT YOU THINK!,MrBeast,97399,4526,2978,,513
212,https://twitter.com/MrBeast/status/1566641323372838915#m,"I also tried to take a photo with everyone that showed up, prob took a couple thousand photos.. I’m so exhausted 😴",MrBeast,73976,810,766,,38
213,https://twitter.com/MrBeast/status/1566567150898356226#m,"I literally work in my studio all day and barely ever leave, so seeing something like this is mind blowing ❤️❤️",MrBeast,142365,1738,3865,,309
214,https://twitter.com/MrBeast/status/1566458954728804354#m,Me - Don’t show up lots of people will be here  You guys -,MrBeast,177885,2753,6006,,1972
215,https://twitter.com/MrBeast/status/1566440114921897986#m,"We open our first Beast Burger in 10 minutes and there is 10,000+ people already in line 😯  I feel pretty good about serving all you but anyone else coming idk maybe come tomorrow/later tonight haha",MrBeast,181784,2466,4924,,1244
216,https://twitter.com/MrBeast/status/1566154484962803714#m,"I gave 100 subscribers $1,000,000 and then hunted them down! Go watch the video 😁",MrBeast,129410,3352,2361,,328
217,https://twitter.com/MrBeast/status/1562714600856240134#m,"Cool seeing all the love from India, might have to film some videos here sometime 🥰",MrBeast,60317,1355,981,,80
218,https://twitter.com/MrBeast/status/1562418541533736960#m,I was walking around in India and someone asked for a picture. So I asked my translator to ask him what his favorite MrBeast video is and he said that he doesn’t know what a MrBeast is and just wanted a photo with a tall white guy lol,MrBeast,896144,12282,29116,,3541
219,https://twitter.com/MrBeast/status/1561995585695137792#m,I’m curious what would happen if I took everything we know about YouTube retention/story telling/virality and tried to apply it to an animated movie or series,MrBeast,98468,3135,1825,,471
220,https://twitter.com/MrBeast/status/1561041571944009734#m,I want to grow this channel to over 100 mil subscribers and inspire kids around the world to do good!  I’ll never make a penny off this channel (and I invest millions of my own money into it because I believe in what we’re doing)  THANK YOU DARREN FOR RUNNING THE CHARITY!,MrBeast,29433,704,955,,38
221,https://twitter.com/MrBeast/status/1561040717534953475#m,"Beast Philanthropy hit 10 mil!  100% of the revenue this channel generates goes towards helping people.. So far we’ve given away over a million meals, built wells in Africa, built houses for homeless, donated millions in aid, helped schools, and we’re just getting started :)",MrBeast,76422,1549,2964,,203
222,https://twitter.com/MrBeast/status/1558204005268049921#m,We filled 5 school buses with school supplies and helped kids in need! Thank you sun-maid helping us fund this!  https://tube.mint.lgbt/STiUV6XXG4E,MrBeast,53520,1208,1501,,93
223,https://twitter.com/MrBeast/status/1557426421571756036#m,Try to resist the urge to like this tweet,MrBeast,160080,6784,2897,,307
224,https://twitter.com/MrBeast/status/1557248204026118144#m,Also for my fellow YouTube nerds here are the stats for the island video so far,MrBeast,23924,615,446,,73
225,https://twitter.com/MrBeast/status/1557244175103528960#m,Also here is how the main channel in other languages around the world is doing,MrBeast,28768,460,475,,27
226,https://twitter.com/MrBeast/status/1557241913845194752#m,Also got #1 on the clips channel lol,MrBeast,16074,257,248,,12
227,https://twitter.com/MrBeast/status/1557238942528901121#m,"It just hit me how ridiculous our views have gotten, I remember when 100 views would make me cry lol",MrBeast,120290,2216,2283,,185
228,https://twitter.com/MrBeast/status/1555299267782254594#m,:D,MrBeast,29389,783,494,,33
229,https://twitter.com/MrBeast/status/1555283189387722755#m,"I UPLOADED MY 100,000,000 SUBSCRIBER SPECIAL!!  Go watch :)",MrBeast,110397,2285,2418,,172
230,https://twitter.com/MrBeast/status/1554318757023080448#m,I spent a million dollars filming a main channel video but uploaded it on Ludwig’s channel to see how it’d do lol  Go watch it,MrBeast,91819,1238,1627,,84
231,https://twitter.com/MrBeast/status/1552738615146463233#m,"Also I just want to say that no matter how big I get I’ll never own a mansion, yacht, Lamborghini etc. All I want is to make the best videos possible and help as many people as I can while doing it ❤️",MrBeast,101667,3464,3131,,404
232,https://twitter.com/MrBeast/status/1552735248026411010#m,"Over a million people celebrated 100,000,000 subscribers with me 🥹  YouTube is the one thing that’s always made me happy and I’m grateful I get to do this all day everyday :)",MrBeast,568649,31344,26832,,2621
233,https://twitter.com/MrBeast/status/1552727642524237824#m,Live-streaming my reaction to 100 mil!  https://tube.mint.lgbt/koifNOiV2MI,MrBeast,49439,5350,11121,,612
234,https://twitter.com/MrBeast/status/1552437152457293830#m,I feel like I’m being assaulted,MrBeast,18008,375,286,,23
235,https://twitter.com/MrBeast/status/1552422387697737728#m,,MrBeast,36958,389,502,,26
236,https://twitter.com/MrBeast/status/1552422262434930689#m,Onma island is buried a treasure chest,MrBeast,100556,1396,2037,,143
237,https://twitter.com/MrBeast/status/1551710463536381953#m,What if we got all the top creators together like teamtrees/teamseas but instead of making environmental videos we all just uploaded a video of us eating cereal and no context to confuse the world,MrBeast,116460,3655,2542,,236
238,https://twitter.com/MrBeast/status/1550569956965859331#m,One negative of shaving my head that I didn’t think of is now I have to photoshop hair on my head for thumbnails or people won’t realize it’s a MrBeast video 💀  (New video tomorrow 😁),MrBeast,129731,1919,1797,,114
239,https://twitter.com/MrBeast/status/1548682985595195396#m,We’ve been working on our 100 million subscriber special all year and it’s my most expensive and insane video ever!  I can’t wait to hit 100 mil and upload this :)),MrBeast,173512,3635,4237,,324
240,https://twitter.com/sapnapalt/status/1544768383379537921#m,YOOOO I have a burger with @MrBeast GO GET IT NOW  https://mrbeastburger.com/,sapnap,134862,2312,4749,,1176
241,https://twitter.com/MrBeast/status/1539426563741167618#m,,MrBeast,17989,636,434,,25
242,https://twitter.com/MrBeast/status/1539420623247745025#m,"Ninja has accepted my offer. $150,000 League of Legends best of 3 match, we’ll announce our teams soon :)  July 9th - Las Vegas.  @crownchannel",MrBeast,74907,1873,2012,,232
243,https://twitter.com/MrBeast/status/1538945864831488002#m,Big announcement tomorrow.   @Ninja Ur trash kid,MrBeast,107886,2561,2040,,179
244,https://twitter.com/MrBeast/status/1538304550314049536#m,Shout out to all the amazing people that helped us support Ukrainian refugees! We all have to do what we can to help 🥺  https://tube.mint.lgbt/7gYpJotNUEs,MrBeast,32390,995,1188,,74
245,https://twitter.com/MrBeast/status/1535336749844537344#m,Also @Ninja sucks,MrBeast,38190,950,635,,65
246,https://twitter.com/MrBeast/status/1535336706836156417#m,I may or may not be hosting a League of Legends tournament soon 👀,MrBeast,130470,3799,2634,,538
247,https://twitter.com/MrBeast/status/1533946597633052672#m,Full disclosure I think YouTube is infinitely better for conversion and tv commercials suck. Just wanted to compare how bad commercials were for sales lol  Anyways buy some chocolate - https://feastables.com,MrBeast,24059,594,444,,20
