ID,link,text,user,likes,comments,retweets,external-link,quotes
360,https://twitter.com/elonmusk/status/1752059651116405200#m,Spicing these memes up with a little Herzog https://invidious.no-logs.com/watch?v=QhMo4WlBmGM,Elon Musk,4132,590,724,,45
361,https://twitter.com/elonmusk/status/1752045709258375260#m,"One day, the chickens may turn on us …",Elon Musk,193658,9755,18885,,1666
362,https://twitter.com/elonmusk/status/1752033682528018768#m,"Legacy media controlling what subjects they write about is by far their biggest lie, as they can ignore important matters and inflate minor ones.   𝕏 enables the people to define the narrative.",Elon Musk,193981,14801,35430,,2331
363,https://twitter.com/elonmusk/status/1752012312981000683#m,It is usually safe to assume that any proposed law will do the opposite of its name – “Orwell’s Law”,Elon Musk,64817,4254,17906,,506
364,https://twitter.com/SpaceX/status/1751867969192509874#m,"Falcon 9 completes two launches within four hours from Florida and California, delivering 45 @Starlink satellites to orbit",SpaceX,18287,1603,2573,,182
365,https://twitter.com/elonmusk/status/1751860429465239697#m,You rang!?,Elon Musk,106907,7909,10700,,674
366,https://twitter.com/SpaceX/status/1751847372689490183#m,A flash of color and liftoff of Falcon 9!,SpaceX,17063,1284,2078,,148
367,https://twitter.com/SpaceX/status/1751849478926291136#m,"Falcon 9 first stage landing on the Of Course I Still Love You droneship, completing this booster's ninth mission",SpaceX,15492,1016,1890,,158
368,https://twitter.com/elonmusk/status/1751796560357097692#m,Aiming for 2 launches of Starlink tonight,Elon Musk,50735,4442,6189,,257
369,https://twitter.com/elonmusk/status/1751718413435855115#m,I guess this one is not a banger,Elon Musk,5812,1330,641,,53
370,https://twitter.com/elonmusk/status/1751651587267952884#m,"Colon Cologne, but it is the best fragrance at masking odors originating from said organ",Elon Musk,50561,8130,7199,,582
371,https://twitter.com/elonmusk/status/1751493496941261146#m,Inner demons can be helpful,Elon Musk,475136,17377,46913,,3041
372,https://twitter.com/elonmusk/status/1751486972336492974#m,"“Colon Cologne, the fragrance that takes you beyond Uranus!” – Grok",Elon Musk,63610,6950,6556,,792
373,https://twitter.com/cb_doge/status/1751235710323921115#m,"Everyone can be a citizen journalist.  You just need a mobile, internet connectivity and 𝕏 app.",DogeDesigner,14039,2388,2419,,240
374,https://twitter.com/elonmusk/status/1751165819919233410#m,That is undeniable at this point,Elon Musk,362900,25658,79235,,3394
375,https://twitter.com/elonmusk/status/1750995501560807465#m,xAI is not raising capital and I have had no conversations with anyone in this regard,Elon Musk,70204,6987,11325,,531
376,https://twitter.com/EvasTeslaSPlaid/status/1750843655634530477#m,"PepsiCo says its Tesla Semi surpassed 1,000 miles in single-day haul. 🔥 @Tesla @elonmusk",Eva McMillan ♥️,16800,1708,2112,,143
377,https://twitter.com/elonmusk/status/1750965742021841250#m,Extremely concerning,Elon Musk,107384,6603,22705,,679
378,https://twitter.com/SawyerMerritt/status/1750542026888646964#m,"Pepsi in new CNN video: “These (Tesla Semi) trucks can run up to 500 miles on a single charge in a single day, so between two drivers one truck and 24 hours, we were able to run 1,076 on a single electric truck.”",Sawyer Merritt,20062,2413,3021,,263
379,https://twitter.com/XBusiness/status/1750242718234681814#m,Don’t sleep on connecting with your customers on X!  @EightSleep increased their revenue generated by X Ads by +102% in just one month with the help of an X Ads Specialist. Book a meeting to maximize your ROI today → bit.ly/3Hli4zV,Business,7007,1734,1315,,86
380,https://twitter.com/XData/status/1750280284635824485#m,"Conversation about this year’s Oscar nominees is surging on X, with +120% more posts and +326% more video views than last year. There have already been over 1.2 billion impressions on Oscars content so far this year.",Data,8536,1603,1233,,91
381,https://twitter.com/elonmusk/status/1750408774773588440#m,Worth it,Elon Musk,27157,5311,4541,,221
382,https://twitter.com/elonmusk/status/1750377366088798237#m,This is my concern re Tesla voting control. Money doesn’t matter if powerful technology goes awry.,Elon Musk,36363,6309,6152,,295
383,https://twitter.com/elonmusk/status/1750376543078232169#m,Saw the Barbie movie recently,Elon Musk,109626,7954,11717,,797
384,https://twitter.com/elonmusk/status/1750368096945070474#m,And he did,Elon Musk,282095,12043,22332,,1379
385,https://twitter.com/elonmusk/status/1750365222819233947#m,It will be,Elon Musk,105209,9368,15571,,1737
386,https://twitter.com/elonmusk/status/1750358106536902830#m,Interview with @BenShapiro,Elon Musk,90138,8880,16020,,769
387,https://twitter.com/elonmusk/status/1750191713434619989#m,,Elon Musk,85060,9731,14495,,915
388,https://twitter.com/SpaceX/status/1749997767156806104#m,Falcon 9 launches 22 @Starlink satellites to orbit from California,SpaceX,22338,2110,2866,,184
389,https://twitter.com/SpaceX/status/1749956182259953908#m,Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,SpaceX,22388,1533,2791,,192
